ID,Main Category,Sub Categories,Title,Description,Ring Size,Length,Packaging,Price,Image URL
94531019,古巴產品,限量款,高希霸 短号保湿盒 兔年限量 88支 82*27 Short,"为庆祝2023年兔年新春佳节，高希霸特别推出全新限量版系列。此独家系列发售15888个带独立编
号的木制雪茄保湿盒，高端的设计灵感来自中国十二生肖兔子的标志，象征着守护、钟爱和幸运。每盒88支的短号雪茄均收藏于木制雪茄保湿盒内，以保持在最理想的湿度环境。",27,82mm,N/A,MOP$2680.00/澳门币,https://img.pospal.cn/productImages/3896373/56309e19-39c7-4fc4-9ae1-a24c11b89d6c_200x200.jpg
112769602,古巴產品,限量款,高希霸 短号保湿盒 龙年限量 88支 82*27 Short,为庆祝 2024 中国龙年到来，高希霸推出全新限量版雪茄。这款小雪茄限量推出21888盒，以木制保湿盒包装，每个保湿盒刻有独立生产编号。这款限量版产品设计灵感来自代表勇气、智慧和坚韧意志的龙图腾。每盒88支小雪茄由保湿盒包装，以保持雪茄的最佳状态。,27,82mm,N/A,MOP$2680.00,https://img.pospal.cn/productImages/3896373/ee3fbf3f-052c-452f-a676-20c29d10166e_200x200.jpg
129906475,古巴產品,限量款,高希霸 短号保湿盒 蛇年限量 88支 82*27 Short,高希霸推出2025蛇年短号限量，本限定系列以生肖蛇为灵感，蛇是聪明、睿智和高雅品质的代表，包含28888个编号雪雪保湿盒。,27,82mm,88支,MOP$1698.00,https://img.pospal.cn/productImages/3823360/79a32a3c-99c3-4516-9db4-07c143e2ca7c_200x200.jpg
113842454,古巴產品,限量款,千里达 短号保湿盒 龙年限量 66支 82*27 Short,"为庆祝2024年的到来，千里达首次推出生肖限量版短号雪茄。龙是权利和财富的象征，集合尊贵华丽，智慧与力量，无所不能。其设计精美：漆面上印有醒目的金色龙形标志。 每盒由保湿盒包装，以保持雪茄的最佳状态，每个保湿盒刻有独立生产编号，别具收藏意义。这款小雪茄限量推出21,000盒",27,82mm,66支,MOP$1798.00,https://img.pospal.cn/productImages/3896373/ffd1c44c-5b57-487b-8cda-ce98055478fa_200x200.jpg
129506320,古巴產品,限量款,蒙特 短号保湿盒 蛇年限量 66支 82*27 Snake,蒙特以农历生肖为灵感，推出新款限量版产品，庆祝2025年蛇年。蛇以机智敏锐而闻名，被视为魅力、智慧和优雅的象征。这限量系列包含13480个编号雪雪保湿盒，每个盒内含66支短号小雪雪，并为其提供理想的湿度条件。,27,82mm,N/A,MOP$1480.00,https://img.pospal.cn/productImages/3823360/e0f9b5ef-9c20-404d-b3c1-0ef8ccf9bc0e_200x200.jpg
69499944,古巴產品,限量款,蒙特 至上 2019限量版 25支 130*55 Supremos,,55,130mm,25支,MOP$24980.00/澳门币,https://img.pospal.cn/productImages/3896373/e82f961e-7447-424c-8445-e5bc08dec5e8_200x200.jpg
118645426,古巴產品,限量款,波尔 利昂 西班牙地限 10支 155*42 Leones,2021年发布，2023年九月底推出市场。这款雪雪属于全手工卷制的，所选叶来自维尔(Vuelta Abajo)地区。此款雪雪的独特设计和制作让它成为了品鉴者们的享受。中等浓郁度和多层次的口味，使得爱好者们在品尝时每一口都成为一种乐趣。限量发售50000盒。,42,155mm,10支,MOP$4998.00,https://img.pospal.cn/productImages/3896373/f6b8d916-bc13-4520-a51b-5e09c6842add_200x200.jpg
102130360,古巴產品,限量款,世界之王 圣殿骑士 葡萄牙地限 10支 120*54 Templarios,,54,120mm,10支,MOP$5088.00,https://img.pospal.cn/productImages/3896373/d4a17fb1-fe3c-4ca4-9d87-5a79dbb218b4_200x200.jpg
116772024,古巴產品,限量款,外交官 忠诚 古巴地限(独立编号) 10支 140*54 Leal,"这款雪茄是古巴的第七款地区限量版，也是外交官品牌的第二款古巴地区限量版。以古巴历史学家 Eusebio Leal 的名字命名，他是哈瓦那老城修复的负责人。总共发布了10,000个单独编号。",54,140mm,10支,MOP$5158.00,https://img.pospal.cn/productImages/3896373/013bcc68-72a0-4cd8-bb13-4d4007ff7733_200x200.jpg
118034992,古巴產品,限量款,好友 #4号 2021年限量版 10支 145*55 Monterreyes,樰珈叶经过两年醇化，口味无与伦比，堪称一绝。 樰珈以清漆滑盖盒包装，每盒十支，采用古巴下维尔他地区长茄芯，纯手工制作。 深色的茄衣还带有一丝甜味，与好友独特的清淡口味（一种芳香的哈瓦那樰珈，带有非常怡人的木质香味）搭配得天衣无缝，带来清新的享受体验。,55,145mm,N/A,MOP$7998.00,https://img.pospal.cn/productImages/3896373/4cb01828-0276-4666-9589-0476b7a0b664_200x200.jpg
85840996,古巴產品,限量款,好友 小鱼雷 旅行装 15支 125*52 Petit Belicosos,这款好友小鱼雷由哈伯纳斯于2017年10月正式发售，产品规格不在哈伯纳斯的常见产品规格中，以前只在一些有限的或地区性的版本中使用过。这款产品为哈伯纳斯独家生产。会被包装在一个特殊的旅行保湿器中，是一个高性价比的独家优质产品。如果你喜欢短时间享用完一支雪茄，且非常注重环径，这款雪茄再合适不过。这款小鱼雷精致优雅，味道柔和且伴有各种复杂的混合味道，这正是它的魅力所在。限量发售 5000盒。,52,125mm,N/A,MOP$10998.00/澳门币,https://img.pospal.cn/productImages/3896373/84c951f1-f2ce-407b-b410-b56101e38926_200x200.jpg
102583118,古巴產品,限量款,雷蒙 诺埃拉斯 2020年意大利地限 25支 132*42 Noellas,,42,132mm,25支,MOP$13388.00,https://img.pospal.cn/productImages/3896373/b717db9a-6276-400c-8d08-86e06537f16d_200x200.jpg
118587482,古巴產品,限量款,多尔赛 帝国 20支 178*47 Imperiales,2015年该型号停产，如今复刻出品，装在一个顶级品质和漂亮设计的艺术品保湿盒中。雪雪采用丘吉尔格式，长度较长。雪雪的强度：轻度至中度，使其成为一种用途广泛的雪雪。外观呈浓郁的棕色，触感光滑。结构和抽吸都无可挑剔，让每次抽吸都充满乐趣。香调包括坚果、焦糖、花香和木香。,47,178mm,20支,MOP$17880.00,https://img.pospal.cn/productImages/3896373/5da4b8a2-b3f3-4080-8231-4444cbc3a186_200x200.jpg
102583316,古巴產品,限量款,胡安 特级精选150周年纪念版 25支 170*52 Seleccion Especial LCDH,,52,170mm,25支,MOP$12998.00,https://img.pospal.cn/productImages/3896373/71d4c372-3e6d-4423-94a1-c9078ace5ebe_200x200.jpg
94826393,古巴產品,限量款,罗密欧 绅士 20支 125*57 Hidalgos,Habanos S.A.在2020年哈瓦那斯音乐节上宣布了黄金系列，庆祝罗密欧．茱丽叶145周年纪念日，是品牌核心系列的高端版本，为了强调周年纪念日，20 支装的盒子极具装饰性，由梧桐木制成，呈现鲜艳的红色钢琴烤漆，盖子上还镶嵌了一个金色浮雕奖章。每支雪茄都配有一个带有vitola名称的特殊腰花及保护脚部的金色环标。雪茄强度中度到浓郁。,57,125mm,20支/盒,MOP$11380.00/澳门币,https://img.pospal.cn/productImages/3896373/a10fbdd3-3e83-44fc-85e6-c8eaf0e7f688_200x200.jpg
94826319,古巴產品,限量款,罗密欧 戴安娜 20支 145*52 Dianas,Habanos S.A.在2020年哈瓦那斯音乐节上宣布了黄金系列，庆祝罗密欧．茱丽叶145周年纪念日，是品牌核心系列的高端版本，为了强调周年纪念日，20 支装的盒子极具装饰性，由梧桐木制成，呈现鲜艳的红色钢琴烤漆，盖子上还镶嵌了一个金色浮雕奖章。每支雪茄都配有一个带有vitola名称的特殊腰花及保护脚部的金色环标。雪茄强度中度到浓郁。,52,145mm,20支/盒,MOP$12980.00/澳门币,https://img.pospal.cn/productImages/3896373/052eff28-6fa6-4502-b998-3315f7f6e0d6_200x200.jpg
99770965,古巴產品,限量款,罗密欧 贵族 20支 135*56 Nobles,,56,135mm,20支,MOP$12680.00,https://img.pospal.cn/productImages/3896373/ee479c98-ba50-49d5-acb2-c7ca17a2df65_200x200.jpg
90611386,古巴產品,限量款,洛基帕特尔 60周年礼盒 100支 165*52 Sixty,这款洛基帕特尔六十特别版雪茄盒含 100 支 Toro 雪茄，是一件真正的艺术品。纪念洛基·帕特尔60岁生日的精彩作品。洛基帕特尔60与雪茄是为那些热衷于烟草帕特尔精心制作的精彩庆祝活动的狂热爱好者创造的。,52,165mm,N/A,MOP$26880.00/澳门币,https://img.pospal.cn/productImages/3896373/9027e396-2c93-487f-8093-e161a10f66c9_200x200.jpg
90611789,古巴產品,限量款,洛基帕特尔 ALR第2版礼盒 100支 ALR 2nd Edition,洛基帕特尔ALR第二版：洛基帕特尔创造了一个杰作，只使用他最好的烟草，然后再前进一步，在卷烟后再陈化两年。在获得高度赞扬和巨大的销售数字后，洛基帕特尔发布了后续报道。卷在著名的TAVICUSA工厂，并结合一个美丽的墨西哥圣安德烈斯包装与最好的填充物从洪都拉斯和尼加拉瓜，洛基帕特尔ALR第二版是一个必须抓住。深色水果、浓郁的浓缩咖啡和雪松的味道包裹着你，让你意犹未尽。,N/A,N/A,100支,MOP$25880.00/澳门币,https://img.pospal.cn/productImages/3896373/736001d6-7ee8-40d6-b844-3e1d9f77b57d_200x200.jpg
113754679,古巴產品,草葉絲,大卫杜夫 龙年限量版烟斗丝 100g,德国生产/草种类：布莱克卡文迪什、弗吉尼亚迈索尔、拉塔基亚/重量：100g/切割：松堆,N/A,N/A,N/A,MOP$618.00,https://img.pospal.cn/productImages/3896373/6f3f90af-dde7-4d56-89c3-b5d2d5fca0ef_200x200.jpg
93959256,古巴產品,草葉絲,大卫杜夫 兔年限量版烟斗丝 100g,2023年是兔年，踏入生肖限量版的第十一个年头，大卫杜夫推出了«兔年»限量版产品。属兔之人天生具有敏锐的洞察力，聪明机智。大卫杜夫在兔年限量版烟斗中完美呈现了这一点。兔年烟斗丝富有令人愉悦的茉莉花、甜香料、柠檬和香草的香味。它由来自印度和中国的弗吉尼亚烟叶以及来自马拉维的伯利烟叶调配而成，这是一款复杂而令人愉悦的烟斗丝。置于其年度限量版的红色漆罐中，并附有调配大师的签名。全球限量5400罐。,N/A,N/A,N/A,MOP$618.00/澳门币,https://img.pospal.cn/productImages/3896373/794c29e1-9ebe-4af8-9e54-71461d466ad1_200x200.jpg
67023424,古巴產品,草葉絲,大卫杜夫叶丝 苏格兰混合 50g Scottish Mixture,,N/A,N/A,N/A,MOP$175.00/澳门币,https://img.pospal.cn/productImages/3896373/00f11fd3-5516-4792-945f-e1d83c53d37f_200x200.jpg
78858342,古巴產品,草葉絲,大卫杜夫叶丝 苏格兰混合 250g(5盒) Scottish Mixture,,N/A,N/A,N/A,MOP$875.00/澳门币,https://img.pospal.cn/productImages/3896373/43b10dbc-c016-4a47-987d-0b1f111a574a_200x200.jpg
90556018,古巴產品,草葉絲,大卫杜夫叶丝 皇家 50g,,N/A,N/A,N/A,MOP$175.00/澳门币,https://img.pospal.cn/productImages/3896373/832478be-f546-4ead-a25f-3a53ee8df406_200x200.jpg
78858474,古巴產品,草葉絲,大卫杜夫叶丝 皇家 250g(5盒),,N/A,N/A,N/A,MOP$875.00/澳门币,https://img.pospal.cn/productImages/3896373/1dc51b15-ae10-48a2-aba0-7776779fd365_200x200.jpg
71820669,古巴產品,草葉絲,大卫杜夫叶丝 大红奖章 50g Flake Medallions,裁切：圆切片；成分：佩里克、弗吉尼亞、黑卡文迪什；味道醇厚，带有一丝甜美和自然的清新感，伴随着微妙的木质和果香味道。香气并不浓烈，如同茶叶一样具有细腻的韵味，使所在的环境充满了美味的气息。,N/A,N/A,N/A,MOP$188.00/澳门币,https://img.pospal.cn/productImages/3896373/349cfd61-f322-4574-92b3-711a14f15f34_200x200.jpg
79393559,古巴產品,草葉絲,大卫杜夫叶丝 大红奖章 250g(5盒) Flake Medallions,裁切：圆切片；成分：佩里克、弗吉尼亞、黑卡文迪什；味道醇厚，带有一丝甜美和自然的清新感，伴随着微妙的木质和果香味道。香气并不浓烈，如同茶叶一样具有细腻的韵味，使所在的环境充满了美味的气息。,N/A,N/A,N/A,MOP$940.00/澳门币,https://img.pospal.cn/productImages/3896373/dbadcf16-ee16-437d-84a3-45a021eaffcb_200x200.jpg
78616057,古巴產品,草葉絲,大卫杜夫叶丝 丹麦混合 50g Danish Mixture,无花果、蜂蜜、枫树、核桃；切法：丝带；香味类型：芳香；浓度：3,N/A,N/A,N/A,MOP$175.00/澳门币,https://img.pospal.cn/productImages/3896373/082723c8-edf5-4e6e-ae66-16cc64f0a2cc_200x200.jpg
78858535,古巴產品,草葉絲,大卫杜夫叶丝 丹麦混合 250g(5盒) Danish Mixture,无花果、蜂蜜、枫树、核桃；切法：丝带；香味类型：芳香；浓度：3,N/A,N/A,N/A,MOP$875.00/澳门币,https://img.pospal.cn/productImages/3896373/6106d60b-744d-4b8e-80e1-bce73afddc74_200x200.jpg
67023433,古巴產品,草葉絲,大卫杜夫叶丝 英格兰混合 50g,,N/A,N/A,N/A,MOP$175.00/澳门币,https://img.pospal.cn/productImages/3896373/6f0cd010-6e09-4dd2-862e-816ea9b8944d_200x200.jpg
80007260,古巴產品,草葉絲,大卫杜夫叶丝 英格兰混合 250g(5盒),,N/A,N/A,N/A,MOP$875.00/澳门币,https://img.pospal.cn/productImages/3896373/58a24e1d-109a-4480-8e04-fd1285e4b4c1_200x200.jpg
71820743,古巴產品,草葉絲,大卫杜夫叶丝 绿色混合 50g GREEN MIXTURE,裁切：细丝；成分：弗吉尼亚、白肋煙、黑卡文迪什；这款草顺滑易吸，装在清新自然的绿色包装中，虽带一丝清香，实则口感浓郁。初次品尝，您会略感淡淡的香草和柔和的甜美气息。全天的馥郁芬芳融汇于清新且略带果香的离散和谐氛围之中，为您奉上轻松且持久的体验。,N/A,N/A,N/A,MOP$145.00/澳门币,https://img.pospal.cn/productImages/3896373/cf284e54-222d-4eb1-93be-bab37a3ddc11_200x200.jpg
71820769,古巴產品,草葉絲,大卫杜夫叶丝 蓝色混合 50g BLUE MIXTURE,裁切：细丝；成分：弗吉尼亚、白肋煙、黑卡文迪什；这款蓝标草口感清爽宜人，散发着可可和香草的美妙香气。初调中带有明显的枫糖气息，淡淡的烟熏味从远处缓缓飘来，仿佛那秋天田野的气息一般。随后，纯正的烟草味逐渐加浓，与咖啡搭配起来尤为美妙，咖啡的苦味和轻涩能够加深人们对往事的回忆。而这烟雾的芳香浓郁醇厚，品吸它着实是一种独特的享受。,N/A,N/A,N/A,MOP$145.00/澳门币,https://img.pospal.cn/productImages/3896373/d2bb37f7-48eb-45aa-8a44-7abb4b5d6c6a_200x200.jpg
71820762,古巴產品,草葉絲,大卫杜夫叶丝 红色混合 50g RED MIXTURE,裁切：细丝；成分：弗吉尼亚、黑卡文迪什；具有典型的丹麦甜香，口感温和，散发着香草与焦糖的气息。前调呈现出清淡的纯正滋味，中调逐渐显露出成熟的谷物味道，十分亲切。后调则展现出浓郁的烤烟格调，与绿茶搭配，带有显著的回甘轻涩。无论是选材还是揉制工艺，都秉承了其高贵雅致的血统。,N/A,N/A,N/A,MOP$145.00/澳门币,https://img.pospal.cn/productImages/3896373/60fb166b-9e68-4919-b0f1-9514a4e01e4f_200x200.jpg
79393612,古巴產品,草葉絲,大卫杜夫叶丝 红色混合 250g(5盒) RED MIXTURE,裁切：细丝；成分：弗吉尼亚、黑卡文迪什；具有典型的丹麦甜香，口感温和，散发着香草与焦糖的气息。前调呈现出清淡的纯正滋味，中调逐渐显露出成熟的谷物味道，十分亲切。后调则展现出浓郁的烤烟格调，与绿茶搭配，带有显著的回甘轻涩。无论是选材还是揉制工艺，都秉承了其高贵雅致的血统。,N/A,N/A,N/A,MOP$725.00/澳门币,https://img.pospal.cn/productImages/3896373/79bf05ef-35c5-43e6-abf2-67098e291b3d_200x200.jpg
112576873,古巴產品,草葉絲,大雀鸟 100g Kentucky bird,香气=花香。切调=宽松切片。酒体=2。芳香=2。味道=4。明亮德弗吉尼亚和晒干的肯塔基草叶与白肋草混合，黑色卡文迪什和精致的玫瑰叶。这种组合中增加了花香浓郁的顶级味道，且泛出一丝蜜糖味道，提供了充满对比的独特混合。,N/A,N/A,N/A,MOP$262.00,https://img.pospal.cn/productImages/3896373/a26c09ba-6a1f-45f2-a064-8dea1335a7f2_200x200.jpg
62154731,古巴產品,草葉絲,大雀鸟 50g Kentucky bird,香气=花香。切调=宽松切片。酒体=2。芳香=2。味道=4。明亮德弗吉尼亚和晒干的肯塔基草叶与白肋草混合，黑色卡文迪什和精致的玫瑰叶。这种组合中增加了花香浓郁的顶级味道，且泛出一丝蜜糖味道，提供了充满对比的独特混合。,N/A,N/A,N/A,MOP$118.00/澳门币,https://img.pospal.cn/productImages/3823360/5ce92537-b6ac-4946-8d84-595d0f5ea7cf_200x200.jpg
112700705,古巴產品,草葉絲,丹麦拉森 155周年-手工限量版 100g,气体质感=2，香气=3，室内体验=4。拉森致力生产高品质叶丝。为纪念这一传统，我们提供了一种基于精选弗吉尼亚草叶的混合物，并添加非洲和中美洲的白肋叶。部分弗吉尼亚草叶被压成薄片，提供凉爽的感觉。其余明亮醇厚的弗吉尼亚草叶与颜色较深的白肋叶形成肉眼可见的对比。享受甜美威士忌和啤酒的柔滑口感，提供生动的体验。,N/A,N/A,N/A,MOP$305.00,https://img.pospal.cn/productImages/3896373/e46a2042-7e79-40b5-996f-a852f7374649_200x200.jpg
122847962,古巴產品,草葉絲,丹麦拉森 2019年限量版 100g,为了庆祝 2019 年的到来，丹麦拉森推出了一款精美的新配比草丝。这款的基底由弗吉尼亚、白肋烟和东方烟草制成的，这些烟草经过轻轻压榨，然后切成方块。作为画龙点睛之笔，添加了横弗吉尼亚和黑色卡文迪什。这种不同切割的组合为混合物提供了独特的视觉层次外观，还有新鲜水果的独特香味,N/A,N/A,N/A,MOP$345.00,https://img.pospal.cn/productImages/3896373/8c06fdf7-723a-4bee-ae7e-50ffda46ff8d_200x200.jpg
122848152,古巴產品,草葉絲,丹麦拉森 2020年限量版 100g,为了庆祝 2020年，丹麦拉森推出了一款新的高级混合烟草。这款独特的混合烟草的基底由明亮的金色弗吉尼亚烟草和来自南美洲、东南亚和亚洲的天然黑卡文迪什烟草手工混合而成。通过加热烟草，我们可以使黑卡文迪什中的天然糖分焦化从而创造出烟草的黑色和甜味。作为最后的润色，这款混合烟草还添加了苏格兰高地威士忌，以增加口感。,N/A,N/A,N/A,MOP$345.00,https://img.pospal.cn/productImages/3896373/ce0adf18-3f95-44ed-be6d-fff57acae5b6_200x200.jpg
122848912,古巴產品,草葉絲,丹麦拉森 2021年限量版 100g,,N/A,N/A,N/A,MOP$310.00,https://img.pospal.cn/productImages/3896373/339547f3-dbe7-4deb-8b7d-a9f78324caf0_200x200.jpg
122849005,古巴產品,草葉絲,丹麦拉森 2024年限量版 100g,,N/A,N/A,N/A,MOP$295.00,https://img.pospal.cn/productImages/3896373/08b15678-7643-490b-9fb5-bc65c74def3e_200x200.jpg
62148932,古巴產品,草葉絲,丹麦法官 金色切片叶丝 50g Orlik Golden Sliced,"裁切：切片；成分：弗吉尼亞、佩里克；這是由Orlik调制出的黄金切片金色切片，被大多数人认为是一个奇迹，也被称作""红法官""。它的特色之处是带有新鲜的柠檬和橙子的味道，香气有明显的奶油韵与青草香，清新自然又通透，非常适合清晨第一斗当早点。",N/A,N/A,N/A,MOP$168.00/澳门币,https://img.pospal.cn/productImages/3896373/a4c685f4-2826-45b6-b9b0-10dc974cdb87_200x200.jpg
112726821,古巴產品,草葉絲,丹麦法官 俱乐部混合 50g Club,"裁切：细丝；成分：弗吉尼亚、白肋烟、黑卡文迪什；被称为""蓝法官""，它散发着香草和咖啡的香气，带来了自然甜美的味道和令人愉悦的室内香调。同时，它的燃烧均匀，在整个过程中没有明显的辛辣味。因此，对于初学者来说也是一个不错的选择。",N/A,N/A,N/A,MOP$180.00,https://img.pospal.cn/productImages/3896373/399b1532-79f9-4bff-a102-8929eb7a740d_200x200.jpg
112728535,古巴產品,草葉絲,丹麦法官 暗黑肯塔基-强烈 50g Dark Strong Kentucky,裁切：切片；成分：肯塔基州、弗吉尼亚；法官烟草在国内一直是物美价廉的代名词，而这款黑法官则是该品牌最受欢迎的口味之一。这是一种强大而可口的烟草，口感丰富，并带有木材，皮革和香料的味道。在吸食时能够感受到浓郁的烟草香味，同时伴有淡淡的甜味和平衡的烟熏风味。烟雾流畅且浓密，给人带来愉悦的享受，是那些喜爱浓烈烟草的烟斗爱好者的心头好。,N/A,N/A,N/A,MOP$180.00,https://img.pospal.cn/productImages/3896373/6d85fd9c-afea-4bfa-84a7-6a64b82700ef_200x200.jpg
112728473,古巴產品,草葉絲,丹麦法官 限量版 50g Vintage,传统的奥力克烟草薄片陈年过，这会使烟草略微变暗，提供丰富而圆润的吸食体验。来自美国的上等黄金弗吉尼亚烟草的混合物已压制成板。精选的烟草薄片在安全的环境中储存和熟化超过12个月，然后才被切成薄片和手工包装。Vintage提供了20000个单独编号的罐,N/A,N/A,N/A,MOP$245.00,https://img.pospal.cn/productImages/3896373/4d51ac42-9d99-4750-b9c8-ab1d1fa00286_200x200.jpg
