SKU,Title,Brand,Description,Price,H Price,Stock,Dimensions,Length,Ring Size,Packaging,Tags,Image URL,Product URL
TRD011,特立尼达/千里达 国王/雷亚斯 (12支/盒) 【110×40】Trinidad Reyes,特立尼达/千里达,,2590,2700,10,110mm x 40,110,40,12支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Trinidad_Reyes_SBN12s_02_921.jpg,https://ktcigar.com/single/?sku=TRD011&id=35733
PUN008,潘趣 短潘趣 (10支/盒) (120*50)Punch Short De Punch,潘趣,,2640,2750,10,,,,10支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Punch20Short20De20Punch2010s2002_526.jpg,https://ktcigar.com/single/?sku=PUN008&id=35384
HOY033,好友 逍遥/贵族3号 木盒 (10支/盒) 【125×54】Hoyo De Monterrey Epicure No.3,好友,,2740,2860,10,125mm x 54,125,54,10支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/09/%E9%80%8D%E9%81%99%E8%B2%B4%E6%97%8F3%E8%99%9F-%E6%9C%A8%E7%9B%92-10S-%E7%9B%92-HOYO-DE-MONTERREY-EPICURE-NO3.jpg,https://ktcigar.com/single/?sku=HOY033&id=34333
PAR002,帕特加斯 贵族 (25支/盒) 【129×40】Partagás Aristocrats,帕特加斯,,2740,2860,10,129mm x 40,129,40,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/04/01_519-2.jpg,https://ktcigar.com/single/?sku=PAR002&id=35123
PAR032,帕特加斯 D 4号 (10支/盒) 【124×50】Partagás Serie D No. 4,帕特加斯,,2740,2860,10,124mm x 50,124,50,10支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Partagas_Serie_D_No4_SBN10s_03_433.jpg,https://ktcigar.com/single/?sku=PAR032&id=35151
COM003,哈伯纳斯精选组合 【礼盒】鱼雷精选雪茄礼盒 (6支/盒) Combinaciones Seleccion Piramides,哈伯纳斯精选组合,,3060,3190,10,,,,6支/盒,特+速,https://ktcigar.com/wp-content/uploads/2025/01/02_52.png,https://ktcigar.com/single/?sku=COM003&id=33667
DV081,大卫杜夫 署名6000 (25支/盒) 【127×48】Davidoff Signature 6000,大卫杜夫,,3270,3410,10,127mm x 48,127,48,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff20Signature2060002025s2002_779.jpg,https://ktcigar.com/single/?sku=DV081&id=33775
DV046,大卫杜夫 千禧罗伯图铝管 (20支/盒) 【133×50】Davidoff Millennium Robusto Tubo,大卫杜夫,,3380,3530,10,133mm x 50,133,50,20支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff20Millennium20Robusto20Tubo2020s_01_107.jpg,https://ktcigar.com/single/?sku=DV046&id=33740
MON045,蒙特 四号 (25支/盒) 【129×42】Montecristo No.4,蒙特,,3900,4070,10,129mm x 42,129,42,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Montecristo_No4_03_16.jpg,https://ktcigar.com/single/?sku=MON045&id=34813
TRD008,特立尼达/千里达 半月 (12支/盒) 【115×50】Trinidad Media Luna,特立尼达/千里达,,4850,5060,10,115mm x 50,115,50,12支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/20Trinidad20Media20Luna2003_137.jpg,https://ktcigar.com/single/?sku=TRD008&id=35730
JUA002,胡安．洛佩斯 胡安特选2号 (25支/盒) (124*50) Juan Lopez Seleccion No.2,胡安．洛佩斯,,5070,5290,10,,,,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Juan_Lopez_Seleccion_No2_03_213.jpg,https://ktcigar.com/single/?sku=JUA002&id=34459
TRD010,特立尼达/千里达 国王/雷亚斯 (24支/盒) 【110×40】Trinidad Reyes,特立尼达/千里达,,5070,5290,10,110mm x 40,110,40,24支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Trinidad_Reyes_SBN24s_03_157.jpg,https://ktcigar.com/single/?sku=TRD010&id=35732
RAM009,莱蒙．阿隆尼 特选 (25支/盒) Ramon Allones Specially Selected,莱蒙．阿隆尼,,5590,5830,10,,,,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_613-2.jpg,https://ktcigar.com/single/?sku=RAM009&id=35447
MON074,蒙特 小二号 (25支/盒) 【120×52】Montecristo Petit No. 2,蒙特,,6230,6500,10,120mm x 52,120,52,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Montecristo_Petit_No2_03_277.jpg,https://ktcigar.com/single/?sku=MON074&id=34842
HUP027,乌普曼/优民 鉴赏家二号 (25支/盒) 【134×51】H. Upmann Connoisseur No. 2,乌普曼/优民,,6440,6720,10,134mm x 51,134,51,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/04/H-Upmann-Connoisseur-No-2-1.jpg,https://ktcigar.com/single/?sku=HUP027&id=34264
PAR031,帕特加斯 D 4号 (25支/盒) 【124×50】Partagás Serie D No. 4,帕特加斯,,6540,6820,10,124mm x 50,124,50,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Partagas_Serie_D_No4_SBN25s_03_747.jpg,https://ktcigar.com/single/?sku=PAR031&id=35150
DIP002,外交官 二号 (25支/盒)  Diplomáticos No.2,外交官,,6970,7270,10,,,,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_397-2.jpg,https://ktcigar.com/single/?sku=DIP002&id=33858
COB072,高希霸 世纪一号/世纪一 (25支/盒) 【102×40】Cohiba Siglo I,高希霸,,7390,7710,10,102mm x 40,102,40,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_40-1.jpg,https://ktcigar.com/single/?sku=COB072&id=33638
COB079,高希霸 世纪二号/世纪二 纸盒 (5 X 5支/盒) 【129×42】Cohiba Siglo II C/P,高希霸,,9600,10010,10,129mm x 42,129,42,,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Cohiba-Siglo2cp2501_694.jpg,https://ktcigar.com/single/?sku=COB079&id=33645
COB091,高希霸 世纪六号/世纪六 (10支/盒) 【150×52】Cohiba Siglo VI,高希霸,,10660,11120,10,150mm x 52,150,52,10支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/454_P_1510803849362_226.jpg,https://ktcigar.com/single/?sku=COB091&id=33657
ROM022,罗密欧．朱丽叶/罗密欧 黄金系列 贵族 (20支/盒) 【135×56】Romeo Y Julieta Linea Oro Nobles,罗密欧．朱丽叶/罗密欧,,10660,11120,10,135mm x 56,135,56,20支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_726-1.jpg,https://ktcigar.com/single/?sku=ROM022&id=35599
COB080,高希霸 世纪三号/世纪三 (25支/盒) 【155×42】Cohiba Siglo III,高希霸,,15410,16080,10,155mm x 42,155,42,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Cohiba_Siglo_III_SLB25s_03_456.jpg,https://ktcigar.com/single/?sku=COB080&id=33646
COB101P,"高希霸 Behike 2010 限量版 (套装)BHK 52, BHK 54, BHK 56 Cohiba Behike 2010 Limited Edition Pack",高希霸,,138200,144170,10,,,,,详+特+速,https://ktcigar.com/wp-content/uploads/2025/01/20180711_065451.jpg.89e2a38b8925ae1b8c8c176037ec1bad.png,https://ktcigar.com/single/?sku=COB101P&id=7243
EPC008,E.P. 卡里洛安可 雄伟 木盒(10支/盒) 【137×52】E.P. CARRILLO ENCORE MAJESTIC,E.P.,,1190,1240,10,137mm x 52,137,52,10支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/01_140-2.jpg,https://ktcigar.com/single/?sku=EPC008&id=7202
EPC024,E.P. 卡里洛历史传承系列E3 (6 7/8 x 54) 【174×54】E.P. CARRILLO La Historia E-III,E.P.,,1190,1240,10,174mm x 54,174,54,,详+特,https://ktcigar.com/wp-content/uploads/2024/05/01_672.jpg,https://ktcigar.com/single/?sku=EPC024&id=7200
EPC035,E.P. 卡里洛誓言前传 (5 x 50) (10支/盒) E.P. CARRILLO Pledge Prequel,E.P.,,1190,1240,10,,,,10支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/01_490-1.jpg,https://ktcigar.com/single/?sku=EPC035&id=7201
DV051,大卫杜夫 尼加拉瓜盒压型雪茄罗伯图 (12支/盒) 【127×48】Davidoff Nicaragua Box Pressed Robusto,大卫杜夫,,1550,1620,10,127mm x 48,127,48,12支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff20Nicaragua20Box20Pressed20Robusto2012s203_163.jpg,https://ktcigar.com/single/?sku=DV051&id=7186
DV052,大卫杜夫 尼加拉瓜盒压型公牛雪茄托罗 (12支/盒) 【152×52】Davidoff Nicaragua Box Pressed Toro,大卫杜夫,,1550,1620,10,152mm x 52,152,52,12支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff20Nicaragua20Box20Pressed20Toro20SLB12s2001_466.jpg,https://ktcigar.com/single/?sku=DV052&id=7188
DV021,大卫杜夫 艾斯库里奥/黑暗极致 格兰完美 (双尖鱼雷型) (12支/盒) 【127×50】Davidoff Escurio Gran Perfecto,大卫杜夫,,1610,1680,10,127mm x 50,127,50,12支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff20Escurio20Gran20Perfecto2012s20Box2001_718.jpg,https://ktcigar.com/single/?sku=DV021&id=7196
DV059,大卫杜夫 尼加拉瓜罗伯图 (12支/盒) 【127×50】Davidoff Nicaragua Robusto,大卫杜夫,,1610,1680,10,127mm x 50,127,50,12支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff20Nicaragua20Robusto20SLB12s2001_640.jpg,https://ktcigar.com/single/?sku=DV059&id=7187
DV109,大卫杜夫 亚玛撒小丘吉尔 (14支/盒) 【102×48】Davidoff Yamasa Petit Churchill,大卫杜夫,,1610,1680,10,102mm x 48,102,48,14支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_YamasaCC81_Petit_Churchill_04_401.jpg,https://ktcigar.com/single/?sku=DV109&id=7192
EPC040,E.P. 卡里洛奥斯库罗特选小丘吉尔 (5 1/2 x 50) 【140×50】E.P. CARRILLO Seleccion Oscuro (ELITE SERIES) SmallChurchill,E.P.,,1790,1870,10,140mm x 50,140,50,,特,https://ktcigar.com/wp-content/uploads/2024/04/01_413-1.jpg,https://ktcigar.com/single/?sku=EPC040&id=7198
DV044,大卫杜夫 千年 鱼雷 (10支/盒) 【156×52】Davidoff Millennium Piramides,大卫杜夫,,1850,1930,10,156mm x 52,156,52,10支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff20Millennium20Piramides2010s20Box_01_945.jpg,https://ktcigar.com/single/?sku=DV044&id=7190
DV048,大卫杜夫 千禧托罗 (10支/盒) 【152×50】Davidoff Millennium Toro,大卫杜夫,,1850,1930,10,152mm x 50,152,50,10支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_MILLENNIUM_TORO_01_763.jpg,https://ktcigar.com/single/?sku=DV048&id=7189
DV115,大卫杜夫 亚玛撒托罗 (12支/盒) 【153×52】Davidoff Yamasa Toro,大卫杜夫,,2150,2240,10,153mm x 52,153,52,12支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_YamasaCC81_Toro_03_173.jpg,https://ktcigar.com/single/?sku=DV115&id=7191
EPC092,E.P. 卡里洛忠誠密友/知己 (6 x 52) 【152×52】E.P. CARRILLO Allegiance CONFIDANT 20'S (TORO),E.P.,,2270,2370,10,152mm x 52,152,52,6 x 52支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/E.P.-CARRILLO-Allegiance-CONFIDANT-20S.png,https://ktcigar.com/single/?sku=EPC092&id=7199
DV009,大卫杜夫 周年典藏/庆典R 铝管 (20支/盒) 【124×50】Davidoff Aniversario Special R Tubos,大卫杜夫,,2930,3060,10,124mm x 50,124,50,20支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_Aniversario_Special_R_Tubos_03_685.jpg,https://ktcigar.com/single/?sku=DV009&id=7197
DV086,大卫杜夫 署名2号铝管 (20支/盒) 【152×38】Davidoff Signature No.2 Tubos,大卫杜夫,,2930,3060,10,152mm x 38,152,38,20支/盒,详+特,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_Signature_No2_Tubos_03_52.jpg,https://ktcigar.com/single/?sku=DV086&id=7193
DV138,大卫杜夫日本限定版雪茄2021 （旅行零售版）Davidoff Exclusive Travel Retail Japan 2021,大卫杜夫日本限定版雪茄2021,,3590,3750,10,,,,,详+特,https://ktcigar.com/wp-content/uploads/2025/03/Davidoff-Exclusive-Tampa-Edition-2021-Feature.png,https://ktcigar.com/single/?sku=DV138&id=7203
CAM008,卡马乔康涅狄(淺藍色)厄瓜多爾 羅拔圖 木盒 (20支/盒)  CAMACHO ECUADOR ROBUSTO,卡马乔康涅狄(淺藍色)厄瓜多爾,,1450,1510,10,,,,20支/盒,详+速,https://ktcigar.com/wp-content/uploads/2024/09/14001802_cam_ecd_rob_box20_002_d84e96e6-10eb-47ee-99c4-f8bf87727e36-1.jpg,https://ktcigar.com/single/?sku=CAM008&id=375
VEG009,唯佳1998 VF 52 (25支/盒) 【135×52】VegaFina 1998 VF 52,唯佳1998,,1580,1650,10,135mm x 52,135,52,25支/盒,详+速,https://ktcigar.com/wp-content/uploads/2024/05/01_200.jpg,https://ktcigar.com/single/?sku=VEG009&id=2768
RAF003,拉斐尔 宾丽特级 (25支/盒)  Rafael Gonzalez Rafael González Panetelas Extra,拉斐尔,,1610,1680,10,,,,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_109-1.jpg,https://ktcigar.com/single/?sku=RAF003&id=2406
CAM006,卡马乔(橙黃色)康涅狄克系列 羅拔圖鋁管 木盒 (20支/盒)  CAMACHO CONNECTICUT ROBUSTO TUBOS,卡马乔(橙黃色)康涅狄克系列,,1640,1710,10,,,,20支/盒,详+速,https://ktcigar.com/wp-content/uploads/2024/09/image-1.png,https://ktcigar.com/single/?sku=CAM006&id=374
RAF004,拉斐尔 珍珠 (25支/盒) Rafael Gonzalez Rafael González Perlas,拉斐尔,,1710,1780,10,,,,25支/盒,详+速,https://ktcigar.com/wp-content/uploads/2024/05/Rafael_GonzaCC81lez_Perlas_03_655.jpg,https://ktcigar.com/single/?sku=RAF004&id=2407
QUI005,金特罗/君特罗 特级伦敦 (25支/盒) 【123×40】Quintero Londres Extra,金特罗/君特罗,,1760,1840,10,123mm x 40,123,40,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_584-2.jpg,https://ktcigar.com/single/?sku=QUI005&id=2399
ROM024,罗密欧．朱丽叶/罗密欧 米利飞尔/妙丽 (25支/盒) 【129×42】Romeo Y Julieta Mille Fleurs,罗密欧．朱丽叶/罗密欧,,2520,2630,10,129mm x 42,129,42,25支/盒,详+速,https://ktcigar.com/wp-content/uploads/2024/05/Romeo_y_Julieta_Mille_Fleurs_03_998.jpg,https://ktcigar.com/single/?sku=ROM024&id=2580
DV008,大卫杜夫 周年典藏/庆典R (25支/盒) 【124×50】Davidoff Aniversario Special R,大卫杜夫,,3210,3350,10,124mm x 50,124,50,25支/盒,详+速,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_Aniversario_Special_R_03_748.jpg,https://ktcigar.com/single/?sku=DV008&id=659
JUA001,胡安．洛佩斯 胡安特选1号 (25支/盒) (143*46) Juan Lopez Seleccion No.1,胡安．洛佩斯,,4560,4760,10,,,,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_707-2.jpg,https://ktcigar.com/single/?sku=JUA001&id=1426
HOY034,好友 逍遥/贵族3号 木盒 (25支/盒) 【125×54】Hoyo De Monterrey Epicure No.3,好友,,6760,7050,10,125mm x 54,125,54,25支/盒,详+速,https://ktcigar.com/wp-content/uploads/2024/09/%E9%80%8D%E9%81%99%E8%B2%B4%E6%97%8F3%E8%99%9F-%E6%9C%A8%E7%9B%92-25S-%E7%9B%92-HOYO-DE-MONTERREY-EPICURE-NO3.jpg,https://ktcigar.com/single/?sku=HOY034&id=1300
TRD015,特立尼达/千里达 尖端/顶尖 (12支/盒) 【125×56】Trinidad Topes,特立尼达/千里达,,7500,7820,10,125mm x 56,125,56,12支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Trinidad-topes20600px_734.jpg,https://ktcigar.com/single/?sku=TRD015&id=2719
MON091,蒙特 寬艾蒙度/宽爱蒙多 木盒 (25支/盒) 【125×54】Montecristo Wide Edmundo,蒙特,,7830,8170,10,125mm x 54,125,54,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/09/%E5%AF%AC%E8%89%BE%E8%92%99%E5%BA%A6-%E6%9C%A8%E7%9B%92-25S-%E7%9B%92-MONTECRISTO-WIDE-EDMUNDO.jpg,https://ktcigar.com/single/?sku=MON091&id=1835
COB075,高希霸 世纪二号/世纪二 (25支/盒) 【129×42】Cohiba Siglo II,高希霸,,9280,9680,10,129mm x 42,129,42,25支/盒,详+速,https://ktcigar.com/wp-content/uploads/2024/05/Cohiba-Siglo22502_602.jpg,https://ktcigar.com/single/?sku=COB075&id=598
VIL002,"VILLIGER 威力加/威利 , 3號 (5X 10) 【155×36】VILLIGER NO.3",VILLIGER,,210,220,10,155mm x 36,155,36,,详,https://ktcigar.com/wp-content/uploads/2024/09/Villiger-Premium-No3-Sumatra-Stapelaufnahme-CH_met05s-1504346853.png,https://ktcigar.com/single/?sku=VIL002&id=7137
VIL007,"VILLIGER 威力加/威利, 8號 (5X 10) 【107×32】VILLIGER NO.8",VILLIGER,,210,220,10,107mm x 32,107,32,,详,https://ktcigar.com/wp-content/uploads/2024/09/Villiger-Premium-No8-Aromatic-Stapelaufnahme-CH_oub4hh-1003170376.png,https://ktcigar.com/single/?sku=VIL007&id=28052
COB104,高希霸 短号 (10支/盒) 【82×27】Cohiba Short,高希霸,,210,220,10,82mm x 27,82,27,10支/盒,,https://ktcigar.com/wp-content/uploads/2024/05/01_174-1.jpg,https://ktcigar.com/single/?sku=COB104&id=56751
MON097,蒙特 短号 (10支/盒) 【82×27】Montecristo Short,蒙特,,220,230,10,82mm x 27,82,27,10支/盒,特,https://ktcigar.com/wp-content/uploads/2025/03/Montecristo-short-10-escorzo-con-producto.webp,https://ktcigar.com/single/?sku=MON097&id=56790
VIL004,VILLIGER 威力加/威利 6號 原味 (10s X 5) 【96×23】VILLIGER NO.6 SUMATRA,VILLIGER,,230,240,10,96mm x 23,96,23,,详,https://ktcigar.com/wp-content/uploads/2024/09/villiger-premium-no6-sumatra-stapelaufnahme_big_default.jpg,https://ktcigar.com/single/?sku=VIL004&id=7138
TRD021,特立尼达/千里达 短号 (10支/盒) 【82×27】Trinidad Short,特立尼达/千里达,,230,240,10,82mm x 27,82,27,10支/盒,特,https://ktcigar.com/wp-content/uploads/2025/03/5b8dffc2e8be725923f903399483e529f99dc0ce.jpg,https://ktcigar.com/single/?sku=TRD021&id=56768
COB105,高希霸 宽短/宽号 (6支/盒) 【100×32】Cohiba Wide Short,高希霸,,270,280,10,100mm x 32,100,32,6支/盒,,https://ktcigar.com/wp-content/uploads/2024/05/01_revised-02_384.jpg,https://ktcigar.com/single/?sku=COB105&id=56752
GUA003,关达拉美拉 水晶筒 (1套50支)Guantanamera Cristales,关达拉美拉,,360,380,10,,,,,详,https://ktcigar.com/wp-content/uploads/2024/05/01_288-2.jpg,https://ktcigar.com/single/?sku=GUA003&id=1226
JOS003*F,比亚达/贝纳查 比华士 纸盒 (5支/盒) 【133×42】Jose L. Piedra Brevas C/P,比亚达/贝纳查,,370,390,10,133mm x 42,133,42,5支/盒,,https://ktcigar.com/wp-content/uploads/2024/05/01_467.jpg,https://ktcigar.com/single/?sku=JOS003*F&id=55304
JOS009*F,比亚达/贝纳查 蜜饯/守护者 纸盒 (5支/盒) 【140×44】Jose L. Piedra Conservas C/P,比亚达/贝纳查,,380,400,10,140mm x 44,140,44,5支/盒,,https://ktcigar.com/wp-content/uploads/2024/05/01_874-2.jpg,https://ktcigar.com/single/?sku=JOS009*F&id=55332
JOS006*F,比亚达/贝纳查 猎人 纸盒 (5支/盒) 【152×43】Jose L. Piedra Cazadores C/P,比亚达/贝纳查,,420,440,10,152mm x 43,152,43,5支/盒,,https://ktcigar.com/wp-content/uploads/2024/05/01_879-1.jpg,https://ktcigar.com/single/?sku=JOS006*F&id=55318
DV015,大卫杜夫 多米尼加普麦罗/入门 多米尼加 (5支/盒) 【105×34】Davidoff Dominican Primeros,大卫杜夫,,420,440,10,105mm x 34,105,34,5支/盒,详,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff20Dominican20Primeros20AP6x5s_03_250.jpg,https://ktcigar.com/single/?sku=DV015&id=17376
DV057,大卫杜夫 尼加拉瓜普麦罗/入门 尼加拉瓜 (5支/盒) 【105×34】Davidoff Nicaragua Primeros,大卫杜夫,,420,440,10,105mm x 34,105,34,5支/盒,,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_Nicaragua_Primeros_04_870.jpg,https://ktcigar.com/single/?sku=DV057&id=17564
DV058,大卫杜夫 尼加拉瓜普麦罗马杜罗/入门 尼加拉瓜-马杜罗 (5支/盒) 【105×34】Davidoff Nicaragua Primeros Maduro,大卫杜夫,,420,440,10,105mm x 34,105,34,5支/盒,详,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_Nicaragua_Primeros_Maduro_04_639.jpg,https://ktcigar.com/single/?sku=DV058&id=17569
